Longitude,Latitude,Accident_Severity,Date,Day_of_Week,Time,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Carriageway_Hazards,Urban_or_Rural_Area
-2.857031,52.191071,3,08/01/2016,6,05:45,6,8,4,0,2
-2.844042,52.267559,3,05/01/2016,3,11:07,1,2,2,0,2
-2.886647,52.251675,2,14/01/2016,5,05:49,4,1,4,0,2
-2.834744,52.458873,3,31/01/2016,1,12:10,1,1,2,0,2
-2.947955,52.036306,3,11/02/2016,5,08:49,1,8,4,0,2
-2.956322,52.043098,2,16/01/2016,7,14:30,1,1,2,0,2
-2.824713,52.511186,3,19/01/2016,3,18:15,6,1,2,0,2
-2.898048,52.126283,3,11/02/2016,5,07:55,1,1,4,0,2
-2.822074,52.227876,3,09/03/2016,4,07:13,1,2,2,0,2
-2.965097,52.109947,3,18/02/2016,5,13:30,1,1,2,0,2
-2.85576,52.001973,3,12/02/2016,6,14:20,1,1,1,0,2
-2.913401,52.485442,2,20/03/2016,1,15:25,1,1,1,0,2
-3.102133,52.120174,3,03/03/2016,5,07:00,1,1,1,7,2
-2.818622,52.531537,2,04/05/2016,4,15:40,1,1,1,0,2
-2.846121,52.198927,2,29/04/2016,6,17:55,1,1,2,0,2
-2.903617,52.097532,2,16/03/2016,4,11:30,1,1,1,0,2
-2.96582,52.20351,1,22/05/2016,1,19:50,1,1,1,0,2
-2.845341,52.035801,3,16/05/2016,2,08:30,1,1,1,0,2
-2.866985,52.470571,2,07/05/2016,7,17:02,1,1,1,0,2
-2.827346,52.253139,2,21/05/2016,7,13:45,1,1,1,0,2
-2.958605,52.141559,3,24/03/2016,5,21:20,6,1,1,0,2
-2.83687,52.456925,3,26/03/2016,7,11:56,1,1,1,0,2
-2.844062,52.299485,2,28/05/2016,7,14:42,1,1,1,0,2
-2.82448,52.51295,2,27/03/2016,1,22:15,6,2,2,2,2
-2.829568,52.502207,2,04/04/2016,2,13:43,1,1,1,0,2
-2.933064,52.182214,3,08/04/2016,6,13:30,1,1,1,0,2
-2.855178,52.079165,3,25/04/2016,2,17:41,1,1,1,0,2
-2.991582,52.480048,3,30/04/2016,7,15:00,1,1,2,7,2
-3.0324,52.445454,3,18/06/2016,7,17:00,1,1,1,0,2
-3.031591,52.177968,2,18/06/2016,7,18:16,1,1,1,0,2
-2.866079,52.364364,2,14/05/2016,7,17:15,1,1,1,0,2
-2.8217,52.236986,3,18/05/2016,4,07:53,1,2,2,0,2
-2.822399,52.515895,3,20/05/2016,6,07:25,1,1,1,0,2
-2.856085,52.079294,3,28/05/2016,7,12:00,1,1,1,0,2
-2.916457,52.399299,3,05/06/2016,1,17:25,1,1,1,0,2
